io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,100.00,83.33,100.00,93.75,100.00,100.00,2,2,1.0000,21,21,0,0,1.0000,0.0000,0.0000
io.prometheus,simpleclient,0.16.0,LLM,54.21,46.18,59.12,47.89,60.34,72.22,23,17,0.7391,219,219,0,0,1.0000,0.0000,0.0000
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,67.70,,73.68,75.00,75.00,50.00,4,4,1.0000,26,26,0,0,1.0000,0.0000,0.0000
jakarta.jms,jakarta.jms-api,3.1.0,LLM,100.00,100.00,100.00,100.00,100.00,100.00,26,26,1.0000,185,185,0,0,1.0000,0.0000,0.0000
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,53.62,,85.42,95.24,95.24,90.91,10,10,1.0000,71,71,0,0,1.0000,0.0000,0.0000
net.minidev,json-smart,2.3,LLM,74.83,66.94,75.72,67.20,85.60,96.39,33,29,0.8788,685,680,4,1,0.9927,0.0058,0.0015
org.apache.commons,commons-csv,1.8,LLM,68.09,50.30,64.34,53.48,82.56,100.00,9,7,0.7778,182,182,0,0,1.0000,0.0000,0.0000
org.apache.commons,commons-exec,1.3,LLM,84.82,80.66,85.14,79.95,93.72,96.67,26,25,0.9615,340,339,1,0,0.9971,0.0029,0.0000
org.apache.logging.log4j,log4j-jcl,2.17.1,LLM,36.89,75.00,43.64,42.42,41.94,100.00,3,2,0.6667,21,21,0,0,1.0000,0.0000,0.0000
org.apache.logging.log4j,log4j-slf4j18-impl,2.11.1,LLM,32.17,42.86,40.28,37.34,38.60,87.50,8,6,0.7500,63,61,1,1,0.9683,0.0159,0.0159
org.checkerframework,checker-qual,3.12.0,LLM,64.60,93.22,71.00,87.06,84.62,42.86,3,3,1.0000,79,78,1,0,0.9873,0.0127,0.0000
org.codehaus.groovy,groovy-datetime,3.0.7,LLM,87.93,78.79,89.07,89.57,93.88,100.00,2,2,1.0000,184,184,0,0,1.0000,0.0000,0.0000
org.hamcrest,hamcrest-library,3.0,LLM,100.00,,100.00,100.00,100.00,100.00,1,1,1.0000,2,2,0,0,1.0000,0.0000,0.0000
org.hamcrest,hamcrest-core,3.0,LLM,100.00,,100.00,100.00,100.00,100.00,1,1,1.0000,3,3,0,0,1.0000,0.0000,0.0000
org.hjson,hjson,3.0.0,LLM,70.92,53.32,76.65,59.08,87.86,91.67,14,13,0.9286,281,278,3,0,0.9893,0.0107,0.0000
org.json,json,20250517,LLM,69.73,59.92,71.14,57.48,86.27,100.00,22,22,1.0000,623,619,3,1,0.9936,0.0048,0.0016
org.osgi,org.osgi.service.component,1.5.1,LLM,57.14,,61.54,50.00,50.00,16.67,2,2,1.0000,15,15,0,0,1.0000,0.0000,0.0000
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100.00,,100.00,100.00,100.00,100.00,1,1,1.0000,11,11,0,0,1.0000,0.0000,0.0000
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100.00,,100.00,100.00,100.00,100.00,7,7,1.0000,46,46,0,0,1.0000,0.0000,0.0000
org.skyscreamer,jsonassert,2.0-rc1,LLM,85.47,77.30,83.44,75.45,83.87,100.00,15,15,1.0000,262,255,2,5,0.9733,0.0076,0.0191
org.slf4j,log4j-over-slf4j,2.0.16,LLM,84.75,76.52,86.60,84.85,93.87,100.00,24,24,1.0000,242,241,1,0,0.9959,0.0041,0.0000
org.slf4j,jcl-over-slf4j,2.0.17,LLM,76.17,65.85,80.47,71.35,83.47,100.00,6,6,1.0000,123,123,0,0,1.0000,0.0000,0.0000
